T26,Population employed in research and development (R&D),,,,,
768,Togo,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),169,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),14,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Total (number in full-time equivalent),539,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Researchers - total (number in full-time equivalent),272,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Researchers - women (number in full-time equivalent),24,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Technicians - total (number in full-time equivalent),64,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Technicians - women (number in full-time equivalent),20,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),204,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
768,Togo,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),42,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2005,R & D personnel: Total (number in full-time equivalent),954,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2005,R & D personnel: Researchers - total (number in full-time equivalent),548,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2005,R & D personnel: Researchers - women (number in full-time equivalent),183,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2005,R & D personnel: Technicians - total (number in full-time equivalent),406,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2005,R & D personnel: Technicians - women (number in full-time equivalent),180,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2010,R & D personnel: Total (number in full-time equivalent),"1,351",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2010,R & D personnel: Researchers - total (number in full-time equivalent),951,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2010,R & D personnel: Researchers - women (number in full-time equivalent),462,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2010,R & D personnel: Technicians - total (number in full-time equivalent),400,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2010,R & D personnel: Technicians - women (number in full-time equivalent),152,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Total (number in full-time equivalent),"2,115",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Researchers - total (number in full-time equivalent),"1,228",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Researchers - women (number in full-time equivalent),671,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Technicians - total (number in full-time equivalent),415,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Technicians - women (number in full-time equivalent),163,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),472,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
780,Trinidad and Tobago,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),227,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
788,Tunisia,2010,R & D personnel: Total (number in full-time equivalent),"15,589",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
788,Tunisia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"14,727",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
